Representative,Committee,Rank,Congress,Last Name,First Name,Middle Initial,State,bioguideID
"Bishop, Sanford D., Jr., of Georgia",Appropriations.,,112,Bishop,Sanford,D,Georgia,B000490
"Bishop, Timothy H., of New York",Education and the Workforce.,,112,Bishop,Timothy,H,New York,B001242
"Bishop, Timothy H., of New York",Transportation and Infrastructure.,,112,Bishop,Timothy,H,New York,B001242
Black,Budget.,,112,Black,,,,B001273
Black,Ways and Means.,,112,Black,,,,B001273
Blackburn,Energy and Commerce.,,112,Blackburn,,,,B001243
Blumenauer,Budget.,,112,Blumenauer,,,,B000574
Blumenauer,Ways and Means.,,112,Blumenauer,,,,B000574
Boehner,The Speaker.,,112,Boehner,,,,B000589
Bonner,"Ethics, chair.",,112,Bonner,,,,B001244
Bonner,Appropriations.,,112,Bonner,,,,B001244
Bono Mack,Energy and Commerce.,,112,Bono Mack,,,,B001228
Bordallo,Armed Services.,,112,Bordallo,,,,B001245
Bordallo,Natural Resources.,,112,Bordallo,,,,B001245
Boren,Natural Resources.,,112,Boren,,,,B001254
Boren,Permanent Select Committee on Intelligence.,,112,Boren,,,,B001254
Boswell,Agriculture.,,112,Boswell,,,,B000652
Boswell,Transportation and Infrastructure.,,112,Boswell,,,,B000652
Boustany,Ways and Means.,,112,Boustany,,,,B001255
"Brady, Kevin, of Texas","Joint Economic Committee, vice chair.",,112,Brady,Kevin,,Texas,B000755
"Brady, Kevin, of Texas",Ways and Means.,,112,Brady,Kevin,,Texas,B000755
"Brady, Robert A., of Pennsylvania",Armed Services.,,112,Brady,Robert,A,Pennsylvania,B001227
"Brady, Robert A., of Pennsylvania",House Administration.,,112,Brady,Robert,A,Pennsylvania,B001227
"Brady, Robert A., of Pennsylvania",Joint Committee on the Library.,,112,Brady,Robert,A,Pennsylvania,B001227
"Brady, Robert A., of Pennsylvania",Joint Committee on Printing.,,112,Brady,Robert,A,Pennsylvania,B001227
"Braley, Bruce L., of Iowa",Oversight and Government Reform.,,112,Braley,Bruce,L,Iowa,B001259
"Braley, Bruce L., of Iowa",Veterans’ Affairs.,,112,Braley,Bruce,L,Iowa,B001259
Brooks,Armed Services.,,112,Brooks,,,,B001274
Brooks,"Science, Space, and Technology.",,112,Brooks,,,,B001274
"Broun, Paul C., Georgia of",Homeland Security.,,112,Broun,Paul,C,,B001262
"Broun, Paul C., Georgia of",Natural Resources.,,112,Broun,Paul,C,,B001262
"Broun, Paul C., Georgia of","Science, Space, and Technology.",,112,Broun,Paul,C,,B001262
"Brown, Corrine of Florida",Transportation and Infrastructure.,,112,Brown,Corrine,,Florida,B000911
"Brown, Corrine of Florida",Veterans’ Affairs.,,112,Brown,Corrine,,Florida,B000911
Buchanan,Ways and Means.,,112,Buchanan,,,,B001260
Bucshon,Education and the Workforce.,,112,Bucshon,,,,B001275
Bucshon,"Science, Space, and Technology.",,112,Bucshon,,,,B001275
Bucshon,Transportation and Infrastructure.,,112,Bucshon,,,,B001275
Buerkle,Foreign Affairs.,,112,Buerkle,,,,B001276
Buerkle,Oversight and Government Reform.,,112,Buerkle,,,,B001276
Buerkle,Veterans’ Affairs.,,112,Buerkle,,,,B001276
Burgess,Energy and Commerce.,,112,Burgess,,,,B001248
Burgess,Joint Economic Committee.,,112,Burgess,,,,B001248
"Burton, Dan, of Indiana",Foreign Affairs.,,112,Burton,Dan,,Indiana,B001149
