representative,party,transaction_date,ticker,type,industry,sector,price_date_unadjusted,price_date,purchase_price,purchase_price_plus_365
Josh Gottheimer,Democrat,7/15/2022,ORCL,purchase,Computer Software: Prepackaged Software,Technology,7/15/2023,7/17/2023,70.73999786,118.8899994
Josh Gottheimer,Democrat,7/22/2022,RBA,sale_partial,Business Services,Miscellaneous,7/22/2023,7/24/2023,69.22000122,63.84000015
Josh Gottheimer,Democrat,7/21/2022,CRM,purchase,Computer Software: Prepackaged Software,Technology,7/21/2023,7/21/2023,185.3500061,228.0599976
Josh Gottheimer,Democrat,7/15/2022,SSDOY,purchase,,,7/15/2023,7/17/2023,39.95999908,45.27000046
Josh Gottheimer,Democrat,7/15/2022,SBUX,purchase,Restaurants,Consumer Services,7/15/2023,7/17/2023,79.62000275,100.9300003
Josh Gottheimer,Democrat,7/15/2022,TGT,purchase,Department/Specialty Retail Stores,Consumer Services,7/15/2023,7/17/2023,146.6699982,130.0099945
Josh Gottheimer,Democrat,7/15/2022,TT,purchase,Auto Parts:O.E.M.,Capital Goods,7/15/2023,7/17/2023,129.5599976,198.8500061
Josh Gottheimer,Democrat,7/15/2022,UPS,purchase,Trucking Freight/Courier Services,Transportation,7/15/2023,7/17/2023,182.5899963,182.7400055
Josh Gottheimer,Democrat,7/27/2022,UNG,purchase,,,7/27/2023,7/27/2023,118.9599991,28
Josh Gottheimer,Democrat,7/29/2022,UNH,purchase,Medical Specialities,Health Care,7/29/2023,7/31/2023,542.3400269,506.3699951
Josh Gottheimer,Democrat,7/15/2022,XP,purchase,Investment Bankers/Brokers/Service,Finance,7/15/2023,7/17/2023,17.53000069,23.45000076
William R. Keating,Democrat,10/7/2022,IBTE,purchase,,,10/7/2023,10/9/2023,23.87999916,23.79999924
Dwight Evans,Democrat,3/25/2022,ARKG,sale_full,,,3/25/2023,3/27/2023,44.77000046,28.63999939
Dwight Evans,Democrat,3/25/2022,ARKG,sale_full,,,3/25/2023,3/27/2023,44.77000046,28.63999939
Dwight Evans,Democrat,3/30/2022,ARKK,sale_full,,,3/30/2023,3/30/2023,68.68000031,38.47999954
Dwight Evans,Democrat,3/30/2022,CE,sale_full,Major Chemicals,Basic Industries,3/30/2023,3/30/2023,144.6399994,106.3899994
Dwight Evans,Democrat,3/30/2022,GD,purchase,Marine Transportation,Capital Goods,3/30/2023,3/30/2023,244.3200073,226.4900055
Dwight Evans,Democrat,3/30/2022,INTC,purchase,Semiconductors,Technology,3/30/2023,3/30/2023,51.43000031,32.09000015
Dwight Evans,Democrat,3/30/2022,KMI,purchase,Natural Gas Distribution,Public Utilities,3/30/2023,3/30/2023,19.09000015,17.29999924
Dwight Evans,Democrat,3/30/2022,NEO,sale_full,Precision Instruments,Health Care,3/30/2023,3/30/2023,12.94999981,17.61000061
Dwight Evans,Democrat,3/30/2022,TWST,sale_full,Managed Health Care,Health Care,3/30/2023,3/30/2023,50.25,14.72999954
Earl Blumenauer,Democrat,10/28/2022,AAPL,purchase,Computer Manufacturing,Technology,10/28/2023,10/30/2023,155.7400055,170.2899933
Earl Blumenauer,Democrat,10/5/2022,T,sale_full,Telecommunications Equipment,Public Utilities,10/5/2023,10/5/2023,15.93000031,14.82999992
Earl Blumenauer,Democrat,10/10/2022,VZ,purchase,Telecommunications Equipment,Public Utilities,10/10/2023,10/10/2023,36.61999893,31.76000023
Josh Gottheimer,Democrat,10/19/2022,ABNB,purchase,Hotels/Resorts,Consumer Discretionary,10/19/2023,10/19/2023,116.8700027,119.9700012
Josh Gottheimer,Democrat,10/17/2022,ALIZY,purchase,,,10/17/2023,10/17/2023,16.69000053,23.70000076
Josh Gottheimer,Democrat,10/27/2022,GOOG,sale_partial,"Computer Software: Programming, Data Processing",Technology,10/27/2023,10/27/2023,92.59999847,123.4000015
Josh Gottheimer,Democrat,10/19/2022,AMGN,purchase,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,10/19/2023,10/19/2023,248.1900024,280.6000061
Josh Gottheimer,Democrat,10/25/2022,AAPl,sale_partial,Computer Manufacturing,Technology,10/25/2023,10/25/2023,152.3399963,171.1000061
Josh Gottheimer,Democrat,10/19/2022,AAPL,purchase,Computer Manufacturing,Technology,10/19/2023,10/19/2023,143.8600006,175.4600067
Josh Gottheimer,Democrat,10/17/2022,BHP,purchase,Precious Metals,Basic Industries,10/17/2023,10/17/2023,49.81000137,58.38999939
